Version:,Intelligent Feeling Test Data 20160625V1
LineNumber:,11
StationNumber:,2
SerialNumber:,
Platfrom:,(null)
KeyName:,Y
Test MarketData:,115.776,293.506,156.732,0.534,80.547,1.203,76.185,113.880,0.702,1.236,1.255,153.356,0.486,0.000,0.000
FeelingCurve Data longht:1262
Trave,Force
0.000,0.000
0.001,1.418
0.002,5.672
0.003,9.586
0.004,13.074
0.005,16.704
0.006,19.415
0.007,22.019
0.008,24.483
0.009,26.716
0.010,28.734
0.011,29.925
0.012,30.999
0.013,32.376
0.014,33.529
0.015,34.159
0.016,34.696
0.017,35.150
0.018,35.531
0.019,35.852
0.020,36.123
0.021,36.355
0.022,36.559
0.023,36.744
0.024,36.919
0.025,37.092
0.026,37.269
0.027,37.455
0.028,37.654
0.029,37.870
0.030,38.106
0.031,38.362
0.033,38.640
0.034,38.940
0.035,39.261
0.036,39.603
0.037,39.965
0.038,40.346
0.039,40.744
0.040,41.159
0.042,41.590
0.043,42.037
0.044,42.498
0.045,42.974
0.046,43.465
0.047,43.969
0.048,44.488
0.049,45.020
0.051,45.566
0.052,46.124
0.053,46.696
0.054,47.280
0.055,47.876
0.056,48.482
0.057,49.099
0.058,49.726
0.059,50.360
0.060,51.001
0.061,51.648
0.062,52.626
0.063,53.609
0.064,54.266
0.065,54.922
0.066,55.577
0.067,56.228
0.068,56.877
0.069,57.841
0.070,58.795
0.071,59.423
0.072,60.354
0.073,61.272
0.074,61.876
0.075,62.771
0.076,63.654
0.077,64.523
0.078,65.381
0.079,66.226
0.080,67.335
0.081,68.153
0.082,68.959
0.083,70.016
0.084,70.796
0.085,71.561
0.086,72.315
0.087,73.053
0.088,73.778
0.089,74.485
0.090,75.175
0.091,75.623
0.092,76.276
0.093,76.908
0.094,77.314
0.095,77.708
0.096,78.276
0.097,78.819
0.098,79.165
0.099,79.499
0.100,79.822
0.101,80.135
0.102,80.438
0.103,80.733
0.104,81.020
0.105,81.438
0.106,81.847
0.107,82.115
0.108,82.382
0.109,82.647
0.110,82.914
0.111,83.181
0.113,83.451
0.114,83.725
0.115,84.002
0.116,84.283
0.117,84.570
0.118,84.862
0.119,85.159
0.120,85.463
0.121,85.773
0.122,86.089
0.123,86.412
0.124,86.742
0.125,87.080
0.126,87.425
0.127,87.777
0.128,88.137
0.130,88.504
0.131,88.880
0.132,89.263
0.133,89.654
0.134,90.053
0.135,90.459
0.136,90.873
0.137,91.294
0.138,91.721
0.139,92.153
0.140,92.591
0.141,93.033
0.142,93.478
0.143,93.926
0.144,94.375
0.145,94.824
0.146,95.272
0.147,95.719
0.148,96.163
0.149,96.604
0.150,97.040
0.151,97.472
0.152,97.898
0.153,98.319
0.154,98.734
0.155,99.342
0.156,99.937
0.157,100.325
0.158,100.705
0.159,101.079
0.160,101.446
0.161,101.983
0.162,102.507
0.163,102.848
0.164,103.183
0.165,103.512
0.166,103.995
0.167,104.467
0.168,104.776
0.169,105.081
0.170,105.531
0.171,105.975
0.172,106.268
0.173,106.703
0.174,107.136
0.175,107.424
0.176,107.711
0.177,108.142
0.178,108.573
0.179,108.862
0.180,109.151
0.181,109.586
0.182,110.022
0.183,110.314
0.184,110.607
0.185,111.047
0.186,111.489
0.187,111.784
0.188,112.078
0.189,112.373
0.190,112.667
0.191,112.960
0.192,113.398
0.193,113.832
0.194,114.119
0.195,114.403
0.196,114.684
0.197,114.963
0.198,115.237
0.199,115.508
0.200,115.776
0.201,116.039
0.202,116.298
0.203,116.554
0.204,116.805
0.205,117.054
0.206,117.299
0.207,117.543
0.208,117.784
0.209,118.025
0.210,118.265
0.211,118.505
0.212,118.747
0.213,118.990
0.214,119.235
0.215,119.483
0.217,119.733
0.218,119.986
0.219,120.242
0.220,120.500
0.221,120.761
0.222,121.024
0.223,121.289
0.224,121.556
0.225,121.824
0.226,122.093
0.227,122.363
0.228,122.634
0.229,122.905
0.230,123.176
0.231,123.448
0.232,123.719
0.233,123.991
0.234,124.263
0.235,124.535
0.236,124.807
0.237,125.078
0.238,125.349
0.239,125.618
0.240,125.885
0.241,126.151
0.242,126.413
0.243,126.673
0.244,126.928
0.245,127.179
0.246,127.425
0.247,127.666
0.248,127.901
0.249,128.130
0.250,128.354
0.251,128.572
0.252,128.784
0.253,128.991
0.254,129.194
0.255,129.489
0.256,129.777
0.257,129.965
0.258,130.151
0.259,130.334
0.260,130.516
0.261,130.785
0.262,131.051
0.263,131.227
0.264,131.402
0.265,131.577
0.266,131.836
0.267,132.094
0.268,132.266
0.269,132.437
0.270,132.608
0.271,132.866
0.272,133.124
0.273,133.297
0.274,133.471
0.275,133.645
0.276,133.907
0.277,134.169
0.278,134.344
0.279,134.518
0.280,134.691
0.281,134.862
0.282,135.032
0.283,135.282
0.284,135.526
0.285,135.685
0.286,135.842
0.287,135.996
0.288,136.148
0.289,136.298
0.290,136.446
0.291,136.593
0.292,136.740
0.293,136.959
0.294,137.179
0.295,137.327
0.296,137.476
0.297,137.626
0.298,137.778
0.299,137.931
0.300,138.085
0.301,138.241
0.302,138.397
0.303,138.555
0.304,138.714
0.305,138.874
0.306,139.036
0.307,139.198
0.308,139.362
0.309,139.527
0.310,139.693
0.311,139.861
0.312,140.030
0.313,140.201
0.314,140.374
0.315,140.548
0.316,140.722
0.317,140.898
0.318,141.073
0.319,141.249
0.320,141.423
0.321,141.597
0.322,141.768
0.323,141.938
0.324,142.105
0.325,142.268
0.326,142.429
0.327,142.586
0.328,142.739
0.329,142.889
0.330,143.036
0.331,143.179
0.332,143.320
0.333,143.458
0.334,143.595
0.335,143.729
0.336,143.862
0.337,143.993
