GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,1000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,1000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,1000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,1000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,1000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,1000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#End Tscr,End Tscr,uploadmtcp,45000,TSCR,,,,,,
Flood Performance Test,reset SMU,reset smu,smu_power_off,1000,,,,,,,
Flood Performance Test,reset ARM board,All I/O set to 0 Bit26=1,arm_reset,1000,,,,,,,
Flood Performance Test,Power On VDD_D_3V,VDD_D_3V(power up Doppler),arm_relay,5000,SUPPLY_VDD_D_3V,,,,,,
Flood Performance Test,Power On VDD_Y_3V,VDD_Y_3V(power up Yogi),arm_relay,5000,SUPPLY_VDD_Y_3V,,,,,,
Flood Performance Test,Time delay 100ms,time delay 100ms,delay,10000,100,,ms,,,,
Flood Performance Test,Init Yogi I2C,6#Init Yogi I2C,arm_i2c_read,10000,CH1*0x33*0x00*2,,,,,,
Flood Performance Test,Time delay 100ms_2,time delay 100ms,delay,10000,100,,ms,,,,
Flood Performance Test,read device ID high byte,Prase Device ID High byte,arm_i2c_read,5000,CH1*0x33*0x00*1,,,,,,
