GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Start TEC before test,Turn Off TEC_1,Turn Off TEC before this test. DUT need to be tested as Cold Start,tec_stop,10000,,,,,,,
Start TEC before test,Set TEC to 55 C,Set TEC to 55 C,tec_set_temp,10000,55,,C,,,,
Start TEC before test,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
Start TEC before test,Turn On TEC,Turn On TEC,tec_start,10000,,,ms,,,,
MTCP Info Init,get fixture integrate factor,get fixture integrate factor,get_integrate_factor,5000,,,,,,,
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,1000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,1000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,1000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,1000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,1000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,1000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#send,Send STATION_ID,uploadmtcp,45000,TSCR,,,,,,
Calypso & Yogi Communication Test,reset SMU,reset smu,smu_power_off,1000,,,,,,,
Calypso & Yogi Communication Test,reset ARM board,All I/O set to 0 Bit26=1,arm_reset,1000,,,,,,,
Calypso & Yogi Communication Test,Power On VDD_D_3V,VDD_D_3V(power up Doppler),arm_relay,5000,SUPPLY_VDD_D_3V,,,,,,
Calypso & Yogi Communication Test,Power On VDD_Y_3V,VDD_Y_3V(power up Yogi),arm_relay,5000,SUPPLY_VDD_Y_3V,,,,,,
Calypso & Yogi Communication Test,delay 10 ms_9,time delay 10ms,delay,5000,10,,ms,,,,
Calypso & Yogi Communication Test,set Calypso low power mode,set Calypso low power mode,arm_i2c_set_mode,5000,DOOPLER,LOW,,,,,
Calypso & Yogi Communication Test,delay 10 ms,time delay 10ms,delay,5000,10,,ms,,,,
Calypso & Yogi Communication Test,DPCK#C_I_IDLE_LOW#measure calypos low power mode current,read calypos low power mode current,arm_dmm,5000,DUT_VDD_D_CURRENT,,uA,0,0.2,,
Calypso & Yogi Communication Test,set Calypso high power mode,set Calypso low power mode,arm_i2c_set_mode,5000,DOOPLER,HIGH,,,,,
Calypso & Yogi Communication Test,time delay 100ms_1,time delay 100ms,delay,10000,100,,ms,,,,
Calypso & Yogi Communication Test,DPCK#C_NVM_DATA#read Calypso nvm,read Calypso nvm,arm_i2c_read_nvm,5000,DOOPLER,,,,,,
Calypso & Yogi Communication Test,Init Yogi I2C,Prase Device ID,arm_i2c_read,10000,CH1*0x33*0x00*2,,,,,,
Calypso & Yogi Communication Test,time delay 100ms,time delay 100ms,delay,10000,100,,ms,,,,
Calypso & Yogi Communication Test,DPCK#Y_DEVICE_ID_H#read device ID high byte,Prase Device ID High byte,arm_i2c_read,5000,CH1*0x33*0x00*1,,,,,,
Calypso & Yogi Communication Test,DPCK#Y_DEVICE_ID_L#read device ID low byte,Prase Device ID Low byte,arm_i2c_read,5000,CH1*0x33*0x01*1,,,,,,
Calypso & Yogi Communication Test,DPCK#Y_REVISION_MAJOR#read revision major,Prase Device revision major,arm_i2c_read,5000,CH1*0x33*0x02*1,,,,,,
Calypso & Yogi Communication Test,DPCK#Y_REVISION_MINOR#read revision minor,Prase Device revision minor,arm_i2c_read,5000,CH1*0x33*0x03*1,,,,,,
Calypso & Yogi Communication Test,DPCK#Y_TRACE_ID#Send to MTCP,Prase Trace ID,arm_i2c_read,5000,CH1*0x33*0x04*4,,,,,,
Calypso & Yogi Communication Test,Set Yogi Register Addr 0x37_1,Bypass Yogi Limit  addr 0x37,set_yogi_data,10000,CH1*0x33*0x37*1,0x80,,,,,
Calypso & Yogi Communication Test,Set Yogi Register Addr 0x30_1,Bypass Yogi Limit  addr 0x30,set_yogi_data,10000,CH1*0x33*0x30*1,0x80,,,,,
Calypso & Yogi Communication Test,Set Yogi Register Addr 0x39_1,Bypass Yogi Limit  addr 0x39,set_yogi_data,10000,CH1*0x33*0x39*1,0x1F,,,,,
Calypso & Yogi Communication Test,Set Yogi Register Addr 0x1F_1,Bypass Yogi Limit  addr 0x1F,set_yogi_data,10000,CH1*0x33*0x1F*1,0xFF,,,,,
Calypso & Yogi Communication Test,Set Yogi Register Addr 0x38_1,Bypass Yogi Limit  addr 0x38,set_yogi_data,10000,CH1*0x33*0x38*1,0x80,,,,,
Calypso & Yogi Communication Test,DPCK#Y_I_ACTIVE#Measure Active Mode Current,Read DUT_VDD_Y_CURRENT,arm_dmm,5000,DUT_VDD_Y_CURRENT,,uA,,,,
Calypso & Yogi Communication Test,DPCK#SEND#Send to MTCP,Send DPCK to MTCP,uploadmtcp,45000,DPCK,,,,,,
Valencia Drive Current Calibration,VCAL#NTC_INIT#wait DUT temperature to 55 C,wait DUT temperature arrive 55 C,wait_dut_temp,15000,1,55,C,,,,
Valencia Drive Current Calibration,VCAL#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
Valencia Drive Current Calibration,Drive DUT with 10 1A pulses,Drive DUT with 10 1A pulses,drivedutwithpulse,50000,1,PRE,,,,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_1A#get peak power,get peak power while driver DUT with 1A pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_1A#get forward voltage,get forward voltage while driver DUT with 1A pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_1A#get forward current,get forward current while driver DUT with 1A pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
Valencia Drive Current Calibration,VCAL#FWHM_1A#get wave FWHM,get wave FWHM while driver DUT with 1A pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_WL_1A#get wave length,get wave length while driver DUT with 1A pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_1A#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_1A#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_1A#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,Drive DUT with 10 0.9A pulses,Drive DUT with 10 0.9A pulses,drivedutwithpulse,50000,0.9,PRE,,,,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_0_9A#get peak power,get peak power while driver DUT with 0.9A pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_0_9A#get forward voltage,get forward voltage while driver DUT with 0.9A pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_0_9A#get forward current,get forward current while driver DUT with 0.9A pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
Valencia Drive Current Calibration,VCAL#FWHM_0_9A#get wave FWHM,get wave FWHM while driver DUT with 0.9A pulse,spec_get_fwhm,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#CENT_WL_0_9A#get wave length,get wave length while driver DUT with 0.9A pulse,spec_wave_length,5000,ALL,,,,,,
Valencia Drive Current Calibration,VCAL#ADIP_RAWDATA_0_9A#Raw Data,capture center wavelength of first 10 pulses(10 values),get_rawdata_path,5000,SPEC,,,,,,
Valencia Drive Current Calibration,VCAL#WL_DATA_CNT_0_9A#get WL_LEN,spectrometer reading times,piam_pwrdata,5000,WAVE_COUNT,,n,,,,
Valencia Drive Current Calibration,VCAL#WL_LEN_0_9A#get WL_LEN,data count from one spectrometer reading,get_count,5000,2048,,,,,,
Valencia Drive Current Calibration,Drive DUT with 10 0.8A pulses,Drive DUT with 10 0.8A pulses,drivedutwithpulse,50000,0.8,PRE,,,,,
Valencia Drive Current Calibration,VCAL#PEAK_OPWR_0_8A#get peak power,get peak power while driver DUT with 0.8A pulse,piam_pwrdata,5000,ALLPEAK,,mW,495,505,,
Valencia Drive Current Calibration,VCAL#VF_0_8A#get forward voltage,get forward voltage while driver DUT with 0.8A pulse,piam_pwrdata,5000,PULSEVOLT,,V,,,,
Valencia Drive Current Calibration,VCAL#IF_0_8A#get forward current,get forward current while driver DUT with 0.8A pilse,piam_pwrdata,5000,PULSECURR,,A,,,,
