GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Start TEC before test,Turn Off TEC_1,Turn Off TEC before this test. DUT need to be tested as Cold Start,tec_stop,10000,,,,,,,
Start TEC before test,Set TEC to 40 C,Set TEC to 40 C,tec_set_temp,10000,40,,,,,,
Start TEC before test,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
Start TEC before test,Turn On TEC,Turn On TEC,tec_start,5000,1,,ms,,,,
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,5000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,5000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,5000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,5000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,5000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,5000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#SendTSCR,Skip,uploadmtcp,45000,TSCR,,,,,,
Yogi Fault Condition Test,reset SMU,reset smu,smu_power_off,5000,,,,,,,
Yogi Fault Condition Test,reset ARM board,All I/O set to 0 Bit26=1,arm_reset,5000,,,,,,,
Yogi Fault Condition Test,Power On VDD_D_3V,VDD_D_3V(power up Doppler),arm_relay,5000,SUPPLY_VDD_D_3V,,,,,,
Yogi Fault Condition Test,Power On VDD_Y_3V,VDD_Y_3V(power up Yogi),arm_relay,5000,SUPPLY_VDD_Y_3V,,,,,,
Yogi Fault Condition Test,delay_100ms_1,delay,delay,,100,,ms,,,,
Yogi Fault Condition Test,Init Yogi I2C,Yogi I2C Init,arm_i2c_read,5000,CH1*0x33*0x00*2,,,,,,
Yogi Fault Condition Test,delay_100ms_9,delay,delay,,100,,ms,,,,
Yogi Fault Condition Test,Read Device ID,Read Device ID,arm_i2c_read,5000,CH1*0x33*0x00*2,,,,,,
