GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,mtcp_debug,1000,FWP649301LDH6CWL5,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,mtcp_debug,1000,S010,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,mtcp_debug,5000,0.210,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,mtcp_debug,1000,V2.2.8,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#SEND#send,Send STATION_ID,uploadmtcp,15000,TSCR,,,,,,
DPCK,DPCK#C_I_IDLE_LOW#measure calypos low power mode current,read calypos low power mode current,mtcp_debug,5000,71.35987794,,uA,0,0.2,,
