GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
TSCR,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
TSCR,TSCR#DUT_SN#DUT_SN,Get UUT SN,mtcp_debug,1000,FWP6493016XH6CWLV,,,,,,
TSCR,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,mtcp_debug,1000,1,,,,,,
TSCR,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,mtcp_debug,1000,SLOTSN123,,,,,,
TSCR,TSCR#SOCKET_DCR#SOCKET_DCR,Get SOCKET_DCR,mtcp_debug,1000,235.9199971,,,,,,
TSCR,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,mtcp_debug,1000,1,,,,,,
TSCR,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,mtcp_debug,1000,V2.2.8,,,,,,
TSCR,TSCR#STATION_ID#STATION_ID,Get STATION_ID,mtcp_debug,1000,4,,,,,,
TSCR,TSCR#SEND#End Tscr,End Tscr,uploadmtcp,10000,TSCR,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_0,index,mtcp_debug,5000,0,,,,,,
FLDI,FLDI#IMG_WIDTH#WIDTH_0,width,mtcp_debug,5000,3296,,,,,,
FLDI,FLDI#IMG_HEIGHT#HEIGHT_0,Height,mtcp_debug,5000,2472,,,,,,
FLDI,FLDI#POS_X#X_0,pos_x,mtcp_debug,5000,1253,,,,,,
FLDI,FLDI#POS_Y#Y_0,pos_y,mtcp_debug,5000,1106,,,,,,
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_0,pos_y,mtcp_debug,5000,103428393.5,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_0,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P1C1.tif,,,,,,
FLDI,FLDI#FLAT_DATA#Para_0,Para,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\DEV_000F3102D2DC_FFC.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_0,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_1,index,mtcp_debug,5000,1,,,,,,
FLDI,FLDI#IMG_WIDTH#WIDTH_1,width,mtcp_debug,5000,3296,,,,,,
FLDI,FLDI#IMG_HEIGHT#HEIGHT_1,Height,mtcp_debug,5000,2472,,,,,,
FLDI,FLDI#POS_X#X_1,pos_x,mtcp_debug,5000,1240,,,,,,
FLDI,FLDI#POS_Y#Y_1,pos_y,mtcp_debug,5000,1452,,,,,,
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_1,pos_y,mtcp_debug,5000,108156157.4,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_1,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P1C2.tif,,,,,,
FLDI,FLDI#FLAT_DATA#Para_1,Para,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\DEV_000F3102D2DD_FFC.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_1,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_2,index,mtcp_debug,5000,2,,,,,,
