GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,mtcp_debug,1000,FWP650300DMH6CWDY,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,mtcp_debug,1000,S009,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#SOCKET_DCR,Get SOCKET_DCR,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,mtcp_debug,1000,1,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,mtcp_debug,1000,V2.2.8,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,mtcp_debug,1000,3,,,,,,
MTCP Info Init,TSCR#SEND#End Tscr,End Tscr,uploadmtcp,10000,TSCR,,,,,,
Beam Profile Test,BMPF#FORWARD_V#Forward Volt,Forward Volt,mtcp_debug,1000,2.0438511371613;2.0456047654152;2.0427467823029;2.0441973209381;2.0461888313293;2.0454747676849;2.0419459342957;2.0423789024353;2.0447600483894;2.0419459342957,,V,1,4,,
Beam Profile Test,BMPF#FORWARD_I#Forward curr,Forward Curr,mtcp_debug,1000,0.78487674395243;0.78501147031784;0.77822849154472;0.78510765234629;0.78464583555857;0.78561758995056;0.78472280502319;0.78483827908834;0.78459292650223;0.78551177183787,,A,0,1.5,,
Beam Profile Test,BMPF#TOTAL_OPTICAL_POWER#Total Optical Power,Total Optical Power,mtcp_debug,1000,0.5,,W,0,1,,
Beam Profile Test,BMPF#BEAM_SIZE#Beam Size Radius,Beam Size,mtcp_debug,1000,5.560312271,,mm,1,50,,
Beam Profile Test,BMPF#SOCKET_DCR#SOCKET_DCR,SOCKET_DCR,mtcp_debug,1000,243.0720031,,,,,,
Beam Profile Test,BMPF#HOT_SPOT_LOC_X#AptureEnery,AptureEnery,mtcp_debug,1000,1964,,,,,,
Beam Profile Test,BMPF#HOT_SPOT_LOC_Y#AptureEnery,AptureEnery,mtcp_debug,1000,1207,,,,,,
Beam Profile Test,BMPF#HOT_SPOT_POWER#AptureEnery,AptureEnery,mtcp_debug,1000,0.00338452,,W,0,1,,
Beam Profile Test,BMPF#IMAGE_DATA#Picture_Path,picture_path,mtcp_debug,1000,D:\MyTest\MTMS_DATA\PRE\FWP650300DMH6CWDY_bmpf_img.tiff,,,,,,
Beam Profile Test,BMPF#IMG_WIDTH#WIDTH,Width,mtcp_debug,1000,3968,,,,,,
Beam Profile Test,BMPF#IMG_HEIGHT#HEIGHT,Height,mtcp_debug,1000,2624,,,,,,
Beam Profile Test,BMPF#SEND#End Bmpf,End Bmpf,uploadmtcp,10000,BMPF,,,,,,
Power Off,TSED#SEND#End Tsed,End Tsed,uploadmtcp,10000,TSED,,,,,,
